original_path,current_path,may_11_classification,may_12_disposition,current_owner,canonical_target,recommended_action,reason
docs/architecture/ADR-024-apache-iceberg-ban.md,docs/architecture/ADR-024-apache-iceberg-ban.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-024-apache-iceberg-ban.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-025-apex-research-workflow.md,docs/architecture/ADR-025-apex-research-workflow.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-025-apex-research-workflow.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-026-apex-research-ultra.md,docs/architecture/ADR-026-apex-research-ultra.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-026-apex-research-ultra.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-027-phase2-spatial-ai-extension.md,docs/architecture/ADR-027-phase2-spatial-ai-extension.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-027-phase2-spatial-ai-extension.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-029-execution-graph-abstraction.md,docs/architecture/ADR-029-execution-graph-abstraction.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-029-execution-graph-abstraction.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-030-materials-v3-production-integration.md,docs/architecture/ADR-030-materials-v3-production-integration.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-030-materials-v3-production-integration.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-030-phase2-deterministic-raw-ingest.md,docs/architecture/ADR-030-phase2-deterministic-raw-ingest.md,canonical,canonical,Repository Architect,docs/architecture/ADR-030-phase2-deterministic-raw-ingest.md,maintain as canonical architecture source,Kept in the explicit canonical architecture set from the May 12 triage plan.
docs/architecture/ADR-031-test-dependency-isolation.md,docs/architecture/ADR-031-test-dependency-isolation.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-031-test-dependency-isolation.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-032-dependency-pinning-strategy.md,docs/architecture/ADR-032-dependency-pinning-strategy.md,current-support,promoted-current-navigation,Repository Architect,docs/architecture/ADR-032-dependency-pinning-strategy.md,maintain in current navigation and governance cross-references,Promoted/current-navigation support file named by the May 12 triage plan.
docs/architecture/ADR-033-test-flake-management.md,docs/architecture/ADR-033-test-flake-management.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-033-test-flake-management.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-034-benchmark-exclusion-from-pr-gating.md,docs/architecture/ADR-034-benchmark-exclusion-from-pr-gating.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-034-benchmark-exclusion-from-pr-gating.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-035-bundle-root-anchoring-invariants.md,docs/architecture/ADR-035-bundle-root-anchoring-invariants.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-035-bundle-root-anchoring-invariants.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-036-accountability-governance-invariants.md,docs/architecture/ADR-036-accountability-governance-invariants.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-036-accountability-governance-invariants.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-037-repo-root-contract.md,docs/architecture/ADR-037-repo-root-contract.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-037-repo-root-contract.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-038-operational-determinism-enforcement-layer.md,docs/architecture/ADR-038-operational-determinism-enforcement-layer.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-038-operational-determinism-enforcement-layer.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-039-branch-staleness-and-selective-integration-policy.md,docs/architecture/ADR-039-branch-staleness-and-selective-integration-policy.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-039-branch-staleness-and-selective-integration-policy.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-040-remove-multipleof-floats-tp-meta-capture-v1.md,docs/architecture/ADR-040-remove-multipleof-floats-tp-meta-capture-v1.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-040-remove-multipleof-floats-tp-meta-capture-v1.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-041-phase4f-external-verification-and-trust-export.md,docs/architecture/ADR-041-phase4f-external-verification-and-trust-export.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-041-phase4f-external-verification-and-trust-export.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-042-scene-group-contract.md,docs/architecture/ADR-042-scene-group-contract.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-042-scene-group-contract.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-043-orchestrator-decomposition.md,docs/architecture/ADR-043-orchestrator-decomposition.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-043-orchestrator-decomposition.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-044-test-marker-enforcement.md,docs/architecture/ADR-044-test-marker-enforcement.md,current-support,promoted-current-navigation,Repository Architect,docs/architecture/ADR-044-test-marker-enforcement.md,maintain in current navigation and governance cross-references,Promoted/current-navigation support file named by the May 12 triage plan.
docs/architecture/ADR-045-monolith-decomposition-residuals.md,docs/architecture/ADR-045-monolith-decomposition-residuals.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-045-monolith-decomposition-residuals.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-046-app-path-security-helper-extraction.md,docs/architecture/ADR-046-app-path-security-helper-extraction.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-046-app-path-security-helper-extraction.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-047-managed-sam2-checkpoint-security-extraction.md,docs/architecture/ADR-047-managed-sam2-checkpoint-security-extraction.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-047-managed-sam2-checkpoint-security-extraction.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-0XX-vjepa2-separate-repo-TEMPLATE.md,docs/architecture/ADR-0XX-vjepa2-separate-repo-TEMPLATE.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-0XX-vjepa2-separate-repo-TEMPLATE.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/APEX_END_TO_END_ARCHITECTURE.md,docs/architecture/APEX_END_TO_END_ARCHITECTURE.md,current-support,review-required-planning,Repository Architect,docs/architecture/APEX_END_TO_END_ARCHITECTURE.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/APEX_PHASE3_ARCHITECTURE.md,docs/architecture/APEX_PHASE3_ARCHITECTURE.md,current-support,review-required-planning,Repository Architect,docs/architecture/APEX_PHASE3_ARCHITECTURE.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/APEX_WORKFLOW_DESIGN.md,docs/architecture/APEX_WORKFLOW_DESIGN.md,canonical,canonical,Repository Architect,docs/architecture/APEX_WORKFLOW_DESIGN.md,maintain as canonical architecture source,Kept in the explicit canonical architecture set from the May 12 triage plan.
docs/architecture/ARCHITECTURAL_CONTEXT_IMPLEMENTATION.md,docs/architecture/ARCHITECTURAL_CONTEXT_IMPLEMENTATION.md,current-support,review-required-planning,Repository Architect,docs/architecture/ARCHITECTURAL_CONTEXT_IMPLEMENTATION.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/ARCHITECTURAL_CONTEXT_INTEGRATION.md,docs/architecture/ARCHITECTURAL_CONTEXT_INTEGRATION.md,current-support,review-required-planning,Repository Architect,docs/architecture/ARCHITECTURAL_CONTEXT_INTEGRATION.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/ARCHITECTURAL_WORKFLOW.md,docs/architecture/ARCHITECTURAL_WORKFLOW.md,current-support,review-required-planning,Repository Architect,docs/architecture/ARCHITECTURAL_WORKFLOW.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/ARCHITECTURE.md,docs/architecture/ARCHITECTURE.md,canonical,canonical,Repository Architect,docs/architecture/ARCHITECTURE.md,maintain as canonical architecture source,Kept in the explicit canonical architecture set from the May 12 triage plan.
docs/architecture/ARCHITECTURE_PHILOSOPHY.md,docs/architecture/ARCHITECTURE_PHILOSOPHY.md,current-support,review-required-planning,Repository Architect,docs/architecture/ARCHITECTURE_PHILOSOPHY.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/ARCHITECT_DIRECTIVE_CI_HEALTH.md,docs/architecture/ARCHITECT_DIRECTIVE_CI_HEALTH.md,current-support,review-required-planning,Repository Architect,docs/architecture/ARCHITECT_DIRECTIVE_CI_HEALTH.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/BRANCH_CLEANUP_QUICKREF.md,docs/architecture/BRANCH_CLEANUP_QUICKREF.md,current-support,review-required-planning,Repository Architect,docs/architecture/BRANCH_CLEANUP_QUICKREF.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/BRANCH_HYGIENE_ASSESSMENT_2026-02-16.md,docs/architecture/BRANCH_HYGIENE_ASSESSMENT_2026-02-16.md,current-support,review-required-planning,Repository Architect,docs/architecture/BRANCH_HYGIENE_ASSESSMENT_2026-02-16.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/CI_003_ARCHITECT_ASSESSMENT.md,docs/architecture/CI_003_ARCHITECT_ASSESSMENT.md,current-support,review-required-planning,Repository Architect,docs/architecture/CI_003_ARCHITECT_ASSESSMENT.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/CODEBASE_AUDIT_2026_Q1.md,docs/architecture/CODEBASE_AUDIT_2026_Q1.md,current-support,review-required-planning,Repository Architect,docs/architecture/CODEBASE_AUDIT_2026_Q1.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/DECISION_SUMMARY_2026-02-15.txt,docs/historical/architecture/DECISION_SUMMARY_2026-02-15.txt,historical,moved-to-historical,Repository Architect,docs/governance/DOCUMENTATION_MAP.md,retain as point-in-time evidence outside docs/architecture navigation,May 12 architecture triage moved point-in-time reports out of maintained architecture navigation.
docs/architecture/DEVELOPMENT_ROADMAP_2026_Q2.md,docs/architecture/DEVELOPMENT_ROADMAP_2026_Q2.md,current-support,review-required-planning,Repository Architect,docs/architecture/DEVELOPMENT_ROADMAP_2026_Q2.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/DNA_UX_UI_STRATEGY_REBASELINE_2026-04-08.md,docs/architecture/DNA_UX_UI_STRATEGY_REBASELINE_2026-04-08.md,current-support,promoted-current-navigation,Repository Architect,docs/architecture/DNA_UX_UI_STRATEGY_REBASELINE_2026-04-08.md,maintain in current navigation and governance cross-references,Promoted/current-navigation support file named by the May 12 triage plan.
docs/architecture/DUAL_REQUEST_ARCHITECT_DECISION.md,docs/architecture/DUAL_REQUEST_ARCHITECT_DECISION.md,current-support,review-required-planning,Repository Architect,docs/architecture/DUAL_REQUEST_ARCHITECT_DECISION.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/DUAL_REQUEST_QUICK_REF.md,docs/architecture/DUAL_REQUEST_QUICK_REF.md,current-support,review-required-planning,Repository Architect,docs/architecture/DUAL_REQUEST_QUICK_REF.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/ISSUE_COMPLETION_AUDIT_879_852.md,docs/historical/architecture/ISSUE_COMPLETION_AUDIT_879_852.md,historical,moved-to-historical,Repository Architect,docs/governance/DOCUMENTATION_MAP.md,retain as point-in-time evidence outside docs/architecture navigation,May 12 architecture triage moved point-in-time reports out of maintained architecture navigation.
docs/architecture/MATERIALS_V3_ARCHITECTURAL_APPROVAL.md,docs/historical/architecture/MATERIALS_V3_ARCHITECTURAL_APPROVAL.md,historical,moved-to-historical,Repository Architect,docs/governance/DOCUMENTATION_MAP.md,retain as point-in-time evidence outside docs/architecture navigation,May 12 architecture triage moved point-in-time reports out of maintained architecture navigation.
docs/architecture/ML_CI_OPTIMIZATION_CHECKLIST.md,docs/historical/architecture/ML_CI_OPTIMIZATION_CHECKLIST.md,historical,moved-to-historical,Repository Architect,docs/governance/DOCUMENTATION_MAP.md,retain as point-in-time evidence outside docs/architecture navigation,May 12 architecture triage moved point-in-time reports out of maintained architecture navigation.
docs/architecture/ML_CI_OPTIMIZATION_QUICKREF.md,docs/architecture/ML_CI_OPTIMIZATION_QUICKREF.md,current-support,review-required-planning,Repository Architect,docs/architecture/ML_CI_OPTIMIZATION_QUICKREF.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/ML_CI_OPTIMIZATION_STRATEGIC_REVIEW.md,docs/architecture/ML_CI_OPTIMIZATION_STRATEGIC_REVIEW.md,current-support,review-required-planning,Repository Architect,docs/architecture/ML_CI_OPTIMIZATION_STRATEGIC_REVIEW.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/MONOLITH_DECOMPOSITION_TARGETS.md,docs/architecture/MONOLITH_DECOMPOSITION_TARGETS.md,current-support,review-required-planning,Repository Architect,docs/architecture/MONOLITH_DECOMPOSITION_TARGETS.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/NIGHTLY_CHECKS_POSTMORTEM_2026-02-02.md,docs/architecture/NIGHTLY_CHECKS_POSTMORTEM_2026-02-02.md,current-support,review-required-planning,Repository Architect,docs/architecture/NIGHTLY_CHECKS_POSTMORTEM_2026-02-02.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/NIGHTLY_CI_RESTORATION_REPORT.md,docs/historical/architecture/NIGHTLY_CI_RESTORATION_REPORT.md,historical,moved-to-historical,Repository Architect,docs/governance/DOCUMENTATION_MAP.md,retain as point-in-time evidence outside docs/architecture navigation,May 12 architecture triage moved point-in-time reports out of maintained architecture navigation.
docs/architecture/PBR-Integration-Executive-Summary.md,docs/historical/architecture/PBR-Integration-Executive-Summary.md,historical,moved-to-historical,Repository Architect,docs/governance/DOCUMENTATION_MAP.md,retain as point-in-time evidence outside docs/architecture navigation,May 12 architecture triage moved point-in-time reports out of maintained architecture navigation.
docs/architecture/PBR-Integration-Final-Review.md,docs/architecture/PBR-Integration-Final-Review.md,current-support,review-required-planning,Repository Architect,docs/architecture/PBR-Integration-Final-Review.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PBR-Integration-Implementation-Roadmap.md,docs/architecture/PBR-Integration-Implementation-Roadmap.md,current-support,review-required-planning,Repository Architect,docs/architecture/PBR-Integration-Implementation-Roadmap.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PBR-Integration-Quick-Reference.md,docs/architecture/PBR-Integration-Quick-Reference.md,current-support,review-required-planning,Repository Architect,docs/architecture/PBR-Integration-Quick-Reference.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PBR-Integration-Visual-Architecture.md,docs/architecture/PBR-Integration-Visual-Architecture.md,current-support,review-required-planning,Repository Architect,docs/architecture/PBR-Integration-Visual-Architecture.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PBR_IMPLEMENTATION_REVIEW_2026-02-01.md,docs/architecture/PBR_IMPLEMENTATION_REVIEW_2026-02-01.md,current-support,review-required-planning,Repository Architect,docs/architecture/PBR_IMPLEMENTATION_REVIEW_2026-02-01.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PHASE1-3_OPTIMIZATION_REVIEW.md,docs/architecture/PHASE1-3_OPTIMIZATION_REVIEW.md,current-support,review-required-planning,Repository Architect,docs/architecture/PHASE1-3_OPTIMIZATION_REVIEW.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PHASE2-AUTHORIZATION.md,docs/architecture/PHASE2-AUTHORIZATION.md,current-support,review-required-planning,Repository Architect,docs/architecture/PHASE2-AUTHORIZATION.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PHASE2_DOCUMENTATION_INDEX.md,docs/architecture/PHASE2_DOCUMENTATION_INDEX.md,current-support,review-required-planning,Repository Architect,docs/architecture/PHASE2_DOCUMENTATION_INDEX.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PHASE2_IMPLEMENTATION_PLAN.md,docs/architecture/PHASE2_IMPLEMENTATION_PLAN.md,current-support,review-required-planning,Repository Architect,docs/architecture/PHASE2_IMPLEMENTATION_PLAN.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PHASE2_PLANNING_SUMMARY.md,docs/historical/architecture/PHASE2_PLANNING_SUMMARY.md,historical,moved-to-historical,Repository Architect,docs/governance/DOCUMENTATION_MAP.md,retain as point-in-time evidence outside docs/architecture navigation,May 12 architecture triage moved point-in-time reports out of maintained architecture navigation.
docs/architecture/PHASE2_PR_SUMMARY.md,docs/pr_archive/architecture/PHASE2_PR_SUMMARY.md,historical,moved-to-pr-archive,Repository Architect,docs/governance/DOCUMENTATION_MAP.md,retain as PR/review evidence outside docs/architecture navigation,May 12 architecture triage moved PR/review-specific evidence out of maintained architecture navigation.
docs/architecture/PHASE2_QUICKREF.md,docs/architecture/PHASE2_QUICKREF.md,current-support,review-required-planning,Repository Architect,docs/architecture/PHASE2_QUICKREF.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PHASE3_L1_IMPLEMENTATION_SUMMARY.md,docs/historical/architecture/PHASE3_L1_IMPLEMENTATION_SUMMARY.md,historical,moved-to-historical,Repository Architect,docs/governance/DOCUMENTATION_MAP.md,retain as point-in-time evidence outside docs/architecture navigation,May 12 architecture triage moved point-in-time reports out of maintained architecture navigation.
docs/architecture/PHASE4_CAPTURE_PROVENANCE_FLAWLESS_ROADMAP.md,docs/historical/architecture/PHASE4_CAPTURE_PROVENANCE_FLAWLESS_ROADMAP.md,historical,moved-to-historical,Repository Architect,docs/governance/DOCUMENTATION_MAP.md,retain as point-in-time evidence outside docs/architecture navigation,May 12 architecture triage moved point-in-time reports out of maintained architecture navigation.
docs/architecture/PHASE4_PORTAL_INTEGRATION.md,docs/architecture/PHASE4_PORTAL_INTEGRATION.md,current-support,review-required-planning,Repository Architect,docs/architecture/PHASE4_PORTAL_INTEGRATION.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PHASE5_STAGEGRAPH_INTEGRATION.md,docs/architecture/PHASE5_STAGEGRAPH_INTEGRATION.md,current-support,review-required-planning,Repository Architect,docs/architecture/PHASE5_STAGEGRAPH_INTEGRATION.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PHASE6_API_CONTRACT.md,docs/architecture/PHASE6_API_CONTRACT.md,current-support,review-required-planning,Repository Architect,docs/architecture/PHASE6_API_CONTRACT.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PHASE_C_ARCHITECTURAL_DECISION.md,docs/architecture/PHASE_C_ARCHITECTURAL_DECISION.md,current-support,review-required-planning,Repository Architect,docs/architecture/PHASE_C_ARCHITECTURAL_DECISION.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PORTAL_EDGE_HARDENING_IMPLEMENTATION_STANDARD.md,docs/architecture/PORTAL_EDGE_HARDENING_IMPLEMENTATION_STANDARD.md,current-support,review-required-planning,Portal App Steward,docs/architecture/PORTAL_EDGE_HARDENING_IMPLEMENTATION_STANDARD.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PORTAL_FRONTDOOR_ROADMAP.md,docs/architecture/PORTAL_FRONTDOOR_ROADMAP.md,canonical,canonical,Portal App Steward,docs/architecture/PORTAL_FRONTDOOR_ROADMAP.md,maintain as canonical architecture source,Kept in the explicit canonical architecture set from the May 12 triage plan.
docs/architecture/PORTAL_OPERATOR_CONSOLE_MODERNIZATION_EVIDENCE.md,docs/architecture/PORTAL_OPERATOR_CONSOLE_MODERNIZATION_EVIDENCE.md,current-support,review-required-planning,Portal App Steward,docs/architecture/PORTAL_OPERATOR_CONSOLE_MODERNIZATION_EVIDENCE.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PORTAL_OPERATOR_CONSOLE_MODERNIZATION_RFC.md,docs/architecture/PORTAL_OPERATOR_CONSOLE_MODERNIZATION_RFC.md,current-support,review-required-planning,Portal App Steward,docs/architecture/PORTAL_OPERATOR_CONSOLE_MODERNIZATION_RFC.md,keep in docs/architecture pending owner review for promotion or archival,May 11 inventory kept this as current-support; May 12 triage flags it for owner review.
docs/architecture/PORTAL_ORCHESTRATOR_ROADMAP.md,docs/architecture/PORTAL_ORCHESTRATOR_ROADMAP.md,canonical,canonical,Portal App Steward,docs/architecture/PORTAL_ORCHESTRATOR_ROADMAP.md,maintain as canonical architecture source,Kept in the explicit canonical architecture set from the May 12 triage plan.
