path,classification,current_owner,canonical_target,recommended_action,reason,review_status,evidence
.github/agents/_archive/RAG_IMPLEMENTATION_COMPLETE.md,archive-only,maintenance area: .github/agents/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/_archive/RAG_IMPLEMENTATION_SUMMARY.md,archive-only,maintenance area: .github/agents/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/_archive/RAG_INTEGRATION_COMPLETE.md,archive-only,maintenance area: .github/agents/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/_archive/RAG_INTEGRATION_GUIDE.md,archive-only,maintenance area: .github/agents/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/_archive/README.md,archive-only,maintenance area: .github/agents/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/portal-app-steward.md,current-support,maintenance area: .github/agents,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,Navigation or historical boundary corrected; no paragraph-level implementation review claimed.,navigation-only review,Coordinator diff review; DOCUMENTATION_MAP.md; exact tracked target and available git relocation history where links changed
.github/agents/rag_system/README.md,current-support,maintenance area: .github/agents/rag_system,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/_archive/750_Picacho_Executive_Summary.md,archive-only,maintenance area: .github/agents/rag_system/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/_archive/750_Picacho_INDEX.md,archive-only,maintenance area: .github/agents/rag_system/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/_archive/750_Picacho_Quality_Assessment.md,archive-only,maintenance area: .github/agents/rag_system/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/_archive/750_Picacho_Quick_Reference.md,archive-only,maintenance area: .github/agents/rag_system/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/_archive/FULL_RAG_WORKFLOW_REPORT.md,archive-only,maintenance area: .github/agents/rag_system/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/_archive/NEW_FEATURES_SUMMARY.md,archive-only,maintenance area: .github/agents/rag_system/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/_archive/README.md,archive-only,maintenance area: .github/agents/rag_system/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/templates/INDEX.md,current-support,maintenance area: .github/agents/rag_system/templates,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/templates/README.md,current-support,maintenance area: .github/agents/rag_system/templates,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/templates/TEMPLATE_SUMMARY.md,current-support,maintenance area: .github/agents/rag_system/templates,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/templates/bug_triage.md,current-support,maintenance area: .github/agents/rag_system/templates,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/templates/documentation.md,current-support,maintenance area: .github/agents/rag_system/templates,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/templates/feature_implementation.md,current-support,maintenance area: .github/agents/rag_system/templates,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/templates/performance_optimization.md,current-support,maintenance area: .github/agents/rag_system/templates,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/templates/pipeline_configuration.md,current-support,maintenance area: .github/agents/rag_system/templates,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/rag_system/templates/testing.md,current-support,maintenance area: .github/agents/rag_system/templates,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/transformation-portal-architect.md,current-support,maintenance area: .github/agents,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,Current claims verified against identified implementation; historical records retained.,source-reviewed changes,apex_performance.yml PR/push synthetic modes; ADR-024 and GATE_POLICY; unchanged role/frontmatter
.github/agents/transformation-portal-specialist.md,current-support,maintenance area: .github/agents,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,Current claims verified against identified implementation; historical records retained.,source-reviewed changes,apex_performance.yml PR/push synthetic modes; ADR-024 and GATE_POLICY; unchanged role/frontmatter
.github/copilot-instructions.md,canonical,maintenance area: .github,.github/copilot-instructions.md,maintain with source contracts,Navigation or historical boundary corrected; no paragraph-level implementation review claimed.,navigation-only review,Coordinator diff review; DOCUMENTATION_MAP.md; exact tracked target and available git relocation history where links changed
.github/workflows/AI_WORKFLOWS_HARDENING_STATUS.md,historical,maintenance area: .github/workflows,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/workflows/AI_WORKFLOW_PATTERN.md,mixed,maintenance area: .github/workflows,docs/governance/DOCUMENTATION_MAP.md,separate historical context from current guidance,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/workflows/DEPENDENCY_SUBMISSION_FIX.md,mixed,maintenance area: .github/workflows,docs/governance/DOCUMENTATION_MAP.md,separate historical context from current guidance,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/workflows/PR_1028_MERGE_CHECKLIST.md,historical,maintenance area: .github/workflows,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/workflows/QUALITY_STANDARDS.md,mixed,maintenance area: .github/workflows,docs/governance/DOCUMENTATION_MAP.md,separate historical context from current guidance,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/workflows/README.md,current-support,CI and test maintenance area,docs/ci/WORKFLOW_MATRIX.md,updated,Reviewed maintained commands and evidence boundaries against source.,source-reviewed changes,".github/workflows/build.yml:39-126,695-724,842-886,1130-1270; .github/workflows/ci-quality-firewall.yml:1-45; .github/workflows/ci.yml; tests/enforcement/test_ml_fast_collection_contract.py:45-47,401-415; scripts/ci/check_per_package_coverage.py; scripts/ci/check_per_package_branch_coverage.py; scripts/ci/check_cold_zone_touched_files.py; pyproject.toml; GitHub main protection snapshot read by coordinator on 2026-09-12"
.github/workflows/VISUAL_SUMMARY.md,historical,maintenance area: .github/workflows,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
AGENTS.md,canonical,maintenance area: .,AGENTS.md,maintain with source contracts,Current claims verified against identified implementation; historical records retained.,source-reviewed changes,"Lux execution_lifecycle.py::PreparedLuxExecution, core/execution_plan.py; ADR-051 activation gates"
CHANGELOG.md,mixed,maintenance area: .,docs/governance/DOCUMENTATION_MAP.md,separate historical context from current guidance,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
CLAUDE.md,canonical,maintenance area: .,CLAUDE.md,maintain with source contracts,Current claims verified against identified implementation; historical records retained.,source-reviewed changes,execution_lifecycle.py preparation and __main__.py plan/run consumption; ADR-051
CONTRIBUTING.md,canonical,"Public CLI/API, ingest, or portal maintenance area; no individual owner inferred",CONTRIBUTING.md,maintain with source contracts,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",source-reviewed changes,"Makefile venv/install-core/install-hooks/test-fast/quality-check targets; .github/workflows/build.yml matrix entries at 701-721 and ci_gate needs/enforcement at 1130-1268; .github/workflows/ci-quality-firewall.yml workflow_run and test-isolation job; 2026-09-12 live protection read supplied by coordinator: CI Gate only, strict=true; scripts/ci/check_per_package_coverage.py active Lux 72% excluding validators 80%, companion branch-floor script, tests/flake_ledger.json empty tests and auto_quarantine_enabled=false"
README.md,canonical,maintenance area: .,README.md,maintain with source contracts,Current claims verified against identified implementation; historical records retained.,source-reviewed changes,Lux __main__.py options and apex condition; model_registry.py; setup installers; extraction/archive review; build.yml markers
SECURITY.md,canonical,"Public CLI/API, ingest, or portal maintenance area; no individual owner inferred",SECURITY.md,maintain with source contracts,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",source-reviewed changes,app.py environment controls at 665-675 and auth startup at 9027; Makefile run-backend-local-noreload 498-505; scripts/setup/run_frontdoor_local.sh and web/secure-landing/.env.example; Current source does not supply claimed universal image/VRAM/vertex ceilings or multi-pass erasure; corrected these promises to path-dependent evidence; Historical vulnerability entries retained; no live vulnerability inventory certified
archive/README.md,archive-only,maintenance area: archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
archive/depth_canonical/ARCHIVE_README.md,archive-only,maintenance area: archive/depth_canonical,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
archive/depth_canonical/README.md,archive-only,maintenance area: archive/depth_canonical,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
archive/docs/development/pr/PR98_ACTION_ITEMS.md,archive-only,maintenance area: archive/docs/development/pr,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
archive/docs/pr_reports/PR98_ACTION_ITEMS.md,archive-only,maintenance area: archive/docs/pr_reports,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
archive/scripts/README.md,archive-only,maintenance area: archive/scripts,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
archive/scripts/legacy-organization/README.md,archive-only,maintenance area: archive/scripts/legacy-organization,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
artifacts/README.md,mixed,maintenance area: artifacts,docs/governance/DOCUMENTATION_MAP.md,separate historical context from current guidance,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
assets/brand/lantern_logo/README.md,current-support,maintenance area: assets/brand/lantern_logo,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
assets/luts/location_aesthetic/_location_notes.md,current-support,maintenance area: assets/luts/location_aesthetic,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
assets/luts/material_response/_Material_Response_Technical_Guide.md,current-support,maintenance area: assets/luts/material_response,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
assets/projects/carolwood_executive_portrait_playbook.md,historical,maintenance area: assets/projects,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
assets/projects/integrated_dataset.md,historical,maintenance area: assets/projects,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
data/sample_images/README.md,current-support,maintenance area: data/sample_images,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
docs/750_picacho/750_PICACHO_FINAL_REPORT.md,historical,maintenance area: docs/750_picacho,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
docs/750_picacho/750_PICACHO_PIPELINE_RESULTS.md,historical,maintenance area: docs/750_picacho,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
docs/750_picacho/750_PICACHO_QUALITY_ASSESSMENT.md,historical,maintenance area: docs/750_picacho,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
docs/750_picacho/750_PICACHO_V1.1_UPGRADE_SUMMARY.md,historical,maintenance area: docs/750_picacho,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
docs/750_picacho/750_PICACHO_v1.0_vs_v1.1_COMPARISON.md,historical,maintenance area: docs/750_picacho,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
docs/750_picacho/QUALITY_ANALYSIS_SUMMARY.txt,historical,maintenance area: docs/750_picacho,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
